INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/authorizationserver_junit] for context [/authorizationserver_junit]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/authorizationserver] for context [/authorizationserver]
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | log4j:ERROR setFile(null,true) call failed.
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | java.io.FileNotFoundException: /opt/CXCOMM181100P_1-70004085/hybris/log/performance.log (Permission denied)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at java.io.FileOutputStream.open0(Native Method)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at java.io.FileOutputStream.open(FileOutputStream.java:270)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:213)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:133)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.FileAppender.setFile(FileAppender.java:294)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.RollingFileAppender.setFile(RollingFileAppender.java:207)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.FileAppender.activateOptions(FileAppender.java:165)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.config.PropertySetter.activate(PropertySetter.java:307)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:172)
